formula,defectid,site,Eb_sum,Vr_max,Eg,Ev
La2O5Ti1,0110854,3,12.501761402784208,-1.9122077365342869,3.4608,5.6119
La2O5Ti1,0110854,4,11.780942486549932,-3.100471243274967,3.4608,6.7189
La2O5Ti1,0110854,5,12.14135194466707,-1.9122077365342869,3.4608,5.9992
La4O12Ti3,0111085,1,12.14135194466707,-1.9122077365342869,3.0176,5.8879
La4O12Ti3,0111085,2,9.556525781146725,-1.9122077365342869,3.0176,5.7683
In2O4Sr1,0111316,1,9.094285162549445,-1.5993795332042406,1.8126,4.4539
In2O4Sr1,0111316,2,9.094285162549445,-1.5993795332042406,1.8126,4.4839
In2O4Sr1,0111316,3,9.094285162549445,-1.5993795332042406,1.8126,4.2635
In2O4Sr1,0111316,4,9.094285162549445,-1.5993795332042406,1.8126,4.3469
O7Sr3Ti2,0111479,1,6.611290159509242,-1.9122077365342869,2.0175,5.1173
O7Sr3Ti2,0111479,2,12.01868473661233,-1.9122077365342869,2.0175,5.393
O7Sr3Ti2,0111479,3,6.611290159509242,-1.9122077365342869,2.0175,5.4334
La1O3Y1,0111508,1,11.937793499912555,-3.100471243274967,4.4902,6.6611
La1O3Y1,0111508,2,11.937793499912555,-3.100471243274967,4.4902,6.5344
La2O3,0111542,1,11.780942486549932,-3.100471243274967,3.4842,6.5007
La2O7Ti2,0111567,1,9.556525781146725,-1.9122077365342869,2.9208,5.9762
La2O7Ti2,0111567,2,12.501761402784208,-1.9122077365342869,2.9208,5.71
La2O7Ti2,0111567,3,15.446997024421691,-1.9122077365342869,2.9208,5.684
La2O7Ti2,0111567,4,15.446997024421691,-1.9122077365342869,2.9208,5.7062
La2O7Ti2,0111567,5,12.501761402784208,-1.9122077365342869,2.9208,5.7495
La2O7Ti2,0111567,6,12.501761402784208,-1.9122077365342869,2.9208,5.7906
La2O7Ti2,0111567,7,12.501761402784208,-1.9122077365342869,2.9208,6.0004
La2O7Ti2,0111567,8,12.501761402784208,-1.9122077365342869,2.9208,5.9466
La2O7Ti2,0111567,9,12.14135194466707,-1.9122077365342869,2.9208,6.2802
La2O7Ti2,0111567,10,9.196116323029587,-1.9122077365342869,2.9208,5.7207
La2O7Ti2,0111567,11,12.14135194466707,-1.9122077365342869,2.9208,5.8706
La2O7Ti2,0111567,12,12.14135194466707,-1.9122077365342869,2.9208,6.1468
La2O7Ti2,0111567,13,12.501761402784208,-1.9122077365342869,2.9208,5.5873
La2O7Ti2,0111567,14,12.501761402784208,-1.9122077365342869,2.9208,5.9513
O4Sr1Y2,0111982,1,12.55619924769947,-3.0678237941146254,3.9198,6.6199
O4Sr1Y2,0111982,2,12.55619924769947,-3.0678237941146254,3.9198,6.6208
O4Sr1Y2,0111982,3,12.55619924769947,-3.0678237941146254,3.9198,6.6705
O4Sr1Y2,0111982,4,12.55619924769947,-3.0678237941146254,3.9198,6.6572
O7Ti2Y2,0112035,1,12.65861241614683,-1.9122077365342869,2.8858,5.5218
O7Ti2Y2,0112035,2,12.09464451327518,-3.290655589970924,2.8858,6.9369
O5Ti1Y2,0112334,1,12.09464451327518,-3.290655589970924,3.4185,6.5839
O5Ti1Y2,0112334,2,12.376628464711006,-1.9122077365342869,3.4185,6.2371
O5Ti1Y2,0112334,3,12.376628464711006,-1.9122077365342869,3.4185,5.8786
O5Ti1Y2,0112334,4,9.352967336392211,-1.9122077365342869,3.4185,6.1246
O5Ti1Y2,0112334,5,12.65861241614683,-1.9122077365342869,3.4185,5.658
Al1Fe1O3,0113386,1,11.548052646345075,-1.2626789622871115,1.9542,4.6654
Al1Fe1O3,0113386,2,9.473557682360283,-1.2626789622871115,1.9542,5.5057
Al1Fe1O3,0113386,3,6.811273805164934,-1.2626789622871115,1.9542,3.7559
Al1Fe1O3,0113386,4,10.06134659557084,-1.2626789622871115,1.9542,4.4172
Al1Fe1O3,0113386,5,6.223484891954378,-1.2626789622871115,1.9542,3.3084
Al1Fe1O3,0113386,6,7.39906271837549,-1.2626789622871115,1.9542,5.9504
Ba1Fe1O3,0115344,1,,,0.6255,0.5393
Ba1Fe1O3,0115344,2,,,0.6255,0.5346
Ba1Fe1O3,0115344,3,,,0.6255,0.2815
Ba1Fe1O3,0115344,4,,,0.6255,0.4659
Ba1Fe1O3,0115344,5,,,0.6255,1.0307
Ba1Fe1O3,0115344,6,,,0.6255,1.2079
Ba1Fe1O3,0115344,7,,,0.6255,1.2223
Ba1Fe1O3,0115344,8,,,0.6255,1.1015
Ba1Fe1O3,0115344,9,,,0.6255,1.2119
Ba1Fe1O3,0115344,10,,-1.2626789622871115,0.6255,0.8996
Ba1Mn3O6,0117270,1,8.14562634012733,-0.433744681701679,0.0939,1.8772
Ba1Mn3O6,0117270,2,7.856668893177051,-0.5156224113418986,0.0939,1.7261
Ba1Mn3O6,0117270,3,8.14562634012733,-0.433744681701679,0.0939,1.5426
Ba1Mn3O6,0117270,4,8.43458378707761,-0.433744681701679,0.0939,1.5668
Ba1Mn3O6,0117270,5,,-0.5156224113418986,0.0939,1.4805
Ba1Mn3O6,0117270,6,,-0.433744681701679,0.0939,0.285
Ba1Mn3O6,0117270,7,,-0.433744681701679,0.0939,2.3331
Ba1Mn3O6,0117270,8,6.181459116833068,-0.433744681701679,0.0939,2.3141
Ba1Mn3O6,0117270,9,6.181459116833068,-0.433744681701679,0.0939,2.5242
Ba1Mn3O6,0117270,10,6.181459116833068,-0.433744681701679,0.0939,2.3704
Ba1Mn3O6,0117270,11,4.217291893538805,-0.433744681701679,0.0939,1.2961
Ba1Mn3O6,0117270,12,4.217291893538805,-0.433744681701679,0.0939,1.4482
Ca2Co1O3,0117717,1,10.498045461292564,-1.2318970816502175,0.8107,4.0287
Ca2Co1O3,0117717,2,10.759160107138468,-1.2318970816502175,0.8107,4.9227
Co1Nb2O6,0119208,1,11.140983824417749,-1.2318970816502175,2.5662,6.025
Co1Nb2O6,0119208,2,7.933888631686109,-1.2318970816502175,2.5662,5.1892
Co1Nb2O6,0119208,3,14.348079017149388,-1.6041816447738562,2.5662,5.7406
Fe2O6Sr3,0124041,1,11.119421653455753,-1.2626789622871115,0.0784,3.4211
Fe2O6Sr3,0124041,2,10.787534620842502,-1.2626789622871115,0.0784,4.1241
Fe2O5Sr3,0124785,1,,,0.6747,4.7267
Fe2O5Sr3,0124785,2,,,0.6747,4.778
Fe2O5Sr3,0124785,3,,,0.6747,5.4016
Mn1O2,0125667,1,6.759374010733628,-0.433744681701679,1.3886,2.7443
Mn1O2,0125667,2,6.759374010733628,-0.433744681701679,1.3886,2.145
Mg4Nb2O9,0126437,1,13.013767536815086,-1.6041816447738562,3.656,5.7126
Mg4Nb2O9,0126437,2,9.955265293789704,-1.6041816447738562,3.656,6.2767
La1Mn1O3,0126619,1,9.818805689863492,-0.5156224113418986,1.0121,3.7311
La1Mn1O3,0126619,2,12.764041311500975,-0.5156224113418986,1.0121,4.034
Mn1O3Sr1,0126839,1,4.506249340489085,-0.433744681701679,1.8446,2.6833
Mn1O3Sr1,0126839,2,4.506249340489085,-0.433744681701679,1.8446,2.6973
Mn1O3Sr1,0126839,3,4.506249340489085,-0.433744681701679,1.8446,1.9142
Mn1O3Sr1,0126839,4,4.506249340489085,-0.433744681701679,1.8446,1.9025
Ba1Nb2O6,0133995,1,12.95893806273273,-1.6041816447738562,2.5495,5.2003
Ba1Nb2O6,0133995,2,9.565386011432926,-1.6041816447738562,2.5495,5.4784
Ba1Nb2O6,0133995,3,9.565386011432926,-1.6041816447738562,2.5495,5.3742
Ba1Mn2O3,0134600,1,9.733023624170794,-1.994603679653242,0.7685,4.7909
Ba1Mn2O3,0134600,2,9.956839889035104,-1.994603679653242,0.7685,5.4596
Co1Mn1O3,0136261,1,7.657444966458732,-0.433744681701679,1.0907,2.7537
Co1O3Sr1,0136293,1,,,0.4887,2.4789
Co1O3Sr1,0136293,2,,,0.4887,2.8649
Co1O3Sr1,0136293,3,,,0.4887,2.7913
Co1O3Sr1,0136293,4,,,0.4887,3.1962
Co1O3Sr1,0136293,5,,,0.4887,2.8475
Co1O3Sr1,0136293,6,,,0.4887,2.38
Co1O3Sr1,0136293,7,,,0.4887,2.4032
Co1O3Sr1,0136293,8,,,0.4887,2.3349
Co1O3Sr1,0136293,9,8.71303965685771,-3.0678237941146254,0.4887,0.2835
Co1O3Sr1,0136293,10,8.71303965685771,-3.0678237941146254,0.4887,0.2988
Co1O3Sr1,0136293,11,8.71303965685771,-3.0678237941146254,0.4887,0.3353
Co1O3Sr1,0136293,12,8.71303965685771,-3.0678237941146254,0.4887,0.3052
Co1O3Ti1,0136734,1,9.762485785478889,-1.2318970816502175,2.1713,5.3321
Fe1O4Sr2,0142463,1,,,0.2288,1.9858
Fe1O4Sr2,0142463,2,,,0.2288,2.2501
Fe2O5Sr2,0143474,1,11.119421653455753,-1.2626789622871115,1.6374,3.6862
Fe2O5Sr2,0143474,2,11.119421653455753,-1.2626789622871115,1.6374,3.695
Fe2O5Sr2,0143474,3,9.376813722084211,-1.2626789622871115,1.6374,3.7262
Fe2O5Sr2,0143474,4,9.376813722084211,-1.2626789622871115,1.6374,3.674
Fe2O5Sr2,0143474,5,7.634205790712668,-1.2626789622871115,1.6374,3.4575
Fe2O5Ti1,0143825,1,7.454635007724206,-1.2626789622871115,1.8818,3.4937
Fe2O5Ti1,0143825,2,9.529129971708999,-1.2626789622871115,1.8818,3.3802
Fe2O5Ti1,0143825,3,10.760280087478826,-1.2626789622871115,1.8818,3.684
La3Nb1O7,0143911,1,10.67316424899143,-1.6041816447738562,3.0469,6.0688
La3Nb1O7,0143911,2,9.565386011432926,-1.6041816447738562,3.0469,5.9297
La3Nb1O7,0143911,3,11.780942486549932,-3.100471243274967,3.0469,6.198
La3Nb1O7,0143911,4,13.618399870628913,-1.6041816447738562,3.0469,6.0716
Mg1Nb2O6,0144307,1,11.289576774124006,-1.6041816447738562,3.5232,5.5587
Mg1Nb2O6,0144307,2,8.231074531098624,-1.6041816447738562,3.5232,5.7976
Mg1Nb2O6,0144307,3,14.348079017149388,-1.6041816447738562,3.5232,5.892
Mn2O5Y1,0144940,1,10.264614150176396,-0.433744681701679,1.1218,3.4069
Mn2O5Y1,0144940,2,10.553571597126675,-0.433744681701679,1.1218,4.1797
Mn2O5Y1,0144940,3,6.470416563783348,-0.433744681701679,1.1218,2.5169
Mn2O5Y1,0144940,4,9.975656703226115,-0.5156224113418986,1.1218,4.0788
